rank,regParam,rmse_val
10,0.05,0.8605688431231165
10,0.1,0.8599012764324828
10,0.17,0.87737518954017
50,0.05,0.8486986447893219
50,0.1,0.8552050948555794
50,0.17,0.8767142016435108
